날짜 시간,pH (pH) (926722),pH mV (mV) (926722),ORP (mV) (926722),Actual Conductivity (μS/cm) (1041604),Specific Conductivity (μS/cm) (1041604),염도 (PSU) (1041604),저항력 (Ω?cm) (1041604),밀도 (g/cm³) (1041604),총 용존 고형물 (TDS) (ppt) (1041604),온도 (°C) (957959),압력 (psi) (956604),깊이 (m) (956604),표면 고도 (m) (956604),외부 전압 (V) (957959),대기압 (mbar) (958671),온도 (°C) (958671),위도 (°),경도 (°),표시됨
오후 2:59:08,7.260865,-12.50231,151.15002,1.6574987,2.2066407,0.000173604,603339.5,0.99950314,0.001434277,11.972279,1.8871306,1.5182807,-8.876092,17.225725,991.6792,42.60537,36.57850732,128.7639181,
오후 2:59:09,7.2608833,-12.502267,151.14876,1.6574981,2.2066553,0.00017361,603333.6,0.9995032,0.001434298,11.972101,1.8872812,1.5184149,-8.876014,17.226503,991.6783,42.60305,36.57850732,128.7639181,
오후 2:59:10,7.260902,-12.502224,151.14749,1.6574974,2.2066698,0.000173615,603327.8,0.9995032,0.001434319,11.971923,1.8874319,1.518549,-8.875935,17.227283,991.6774,42.600727,36.57850732,128.7639181,
오후 2:59:11,7.2606454,-12.504634,151.17442,1.6578728,2.2072573,0.000173809,603186.7,0.9995034,0.001434709,11.968793,1.8910804,1.5201834,-8.873358,17.243597,991.9099,42.574005,36.57850732,128.7639181,
오후 2:59:12,7.2606397,-12.504934,151.17543,1.6579006,2.2073054,0.000173825,603172.06,0.9995034,0.001434749,11.96854,1.8913175,1.5203143,-8.873191,17.245026,991.9252,42.571625,36.57850732,128.7639181,
오후 2:59:13,7.260335,-12.488586,151.1701,1.657851,2.2072265,0.000173799,603190.5,0.9995034,0.001434697,11.968715,1.8966427,1.524167,-8.869447,17.222225,991.7252,42.545166,36.57850732,128.7639181,
오후 2:59:14,7.2603083,-12.487577,151.17044,1.6578571,2.207236,0.000173802,603188.3,0.9995034,0.001434704,11.968647,1.8970827,1.5244594,-8.869138,17.22115,991.718,42.542767,36.57850732,128.7639181,
오후 2:59:15,7.260282,-12.486568,151.17079,1.6578631,2.2072456,0.000173805,603186.1,0.9995034,0.00143471,11.968579,1.8975227,1.5247517,-8.868828,17.220072,991.7109,42.54037,36.57851706,128.7639141,
오후 2:59:16,7.260932,-12.522057,151.14923,1.6575654,2.20704,0.000175325,601963.3,0.99950373,0.001437759,11.965209,1.8960266,1.5242966,-8.869881,17.243334,991.66956,42.52303,36.57851706,128.7639141,
오후 2:59:17,7.260964,-12.523816,151.14777,1.6575457,2.2070253,0.000175419,601887.75,0.9995038,0.001437947,11.965003,1.8960806,1.5243744,-8.869843,17.244164,991.6616,42.521217,36.57851706,128.7639141,
오후 2:59:18,7.2611732,-12.535172,151.14911,1.6596287,2.2099724,0.000174907,602370.6,0.9995041,0.001436898,11.964633,1.9001436,1.5262673,-8.866985,17.222105,991.6866,42.503742,36.57851706,128.7639141,
오후 2:59:19,7.2612023,-12.536773,151.14868,1.6597556,2.2101572,0.000174912,602371.6,0.9995041,0.001436905,11.964525,1.9003699,1.5263786,-8.866826,17.221264,991.6873,42.502182,36.57851706,128.7639141,
오후 2:59:20,7.2612314,-12.538374,151.14825,1.6598824,2.2103417,0.000174916,602372.6,0.99950415,0.001436913,11.964417,1.9005961,1.5264899,-8.866667,17.220423,991.688,42.50062,36.57851706,128.7639141,
오후 2:59:21,7.2607765,-12.513193,151.1714,1.6594007,2.2097595,0.000174682,602587.5,0.99950427,0.001436439,11.96063,1.8990948,1.5272696,-8.866978,17.21971,991.71497,42.465675,36.57851706,128.7639141,
오후 2:59:22,7.260753,-12.511917,151.17288,1.6594257,2.209801,0.000174654,602613.8,0.9995043,0.001436381,11.960384,1.8991091,1.5273687,-8.866921,17.219076,991.7173,42.46303,36.57851706,128.7639141,
오후 2:59:23,7.261498,-12.552825,151.15782,1.6607078,2.211569,0.000175222,602152.94,0.9995045,0.001436361,11.959208,1.9060701,1.5308995,-8.862713,17.203962,991.71014,42.44493,36.57851706,128.7639141,
오후 2:59:24,7.2615347,-12.554835,151.15741,1.6607767,2.2116659,0.000175254,602127.94,0.99950457,0.00143635,11.959039,1.9064759,1.531143,-8.862453,17.203,991.71027,42.44293,36.57851706,128.7639141,
오후 2:59:25,7.2615714,-12.556847,151.15701,1.6608456,2.211763,0.000175285,602102.94,0.99950457,0.001436339,11.958871,1.9068818,1.5313865,-8.862194,17.202038,991.71045,42.44093,36.57851706,128.7639141,
