날짜 시간,pH (pH) (926722),pH mV (mV) (926722),ORP (mV) (926722),Actual Conductivity (μS/cm) (1041604),Specific Conductivity (μS/cm) (1041604),염도 (PSU) (1041604),저항력 (Ω?cm) (1041604),밀도 (g/cm³) (1041604),총 용존 고형물 (TDS) (ppt) (1041604),온도 (°C) (957959),압력 (psi) (956604),깊이 (m) (956604),표면 고도 (m) (956604),외부 전압 (V) (957959),대기압 (mbar) (958671),온도 (°C) (958671),위도 (°),경도 (°),표시됨
오후 2:57:36,7.2586617,-12.400844,151.08817,1.6612009,2.2070124,0.00017351,601974.56,0.99949384,0.001434558,12.051941,1.218526,1.0492522,-9.345021,17.237099,991.666,42.98011,36.57849131,128.7639275,
오후 2:57:37,7.258652,-12.400296,151.08789,1.6611925,2.2070107,0.00017351,601976.8,0.99949384,0.001434557,12.051777,1.2187506,1.0495186,-9.344792,17.236897,991.65674,42.979885,36.57849131,128.7639275,
오후 2:57:38,7.25369,-12.127061,151.22377,1.6616031,2.2076118,0.000173707,601893.9,0.9994941,0.001434835,12.050783,1.2224377,1.0498524,-9.343334,17.22113,991.7397,42.971184,36.57849131,128.7639275,
오후 2:57:39,7.2533827,-12.110172,151.23158,1.661646,2.207675,0.000173728,601882.3,0.99949414,0.001434869,12.050674,1.2226678,1.0499319,-9.343213,17.22016,991.74384,42.970646,36.57849131,128.7639275,
오후 2:57:40,7.2527447,-12.074965,151.2401,1.659592,2.2050598,0.000172892,602566.3,0.99949425,0.001433274,12.049505,1.2222306,1.0501271,-9.343559,17.219645,991.7209,43.029858,36.57849131,128.7639275,
오후 2:57:41,7.2525845,-12.066122,151.24394,1.6594706,2.2049072,0.000172843,602608.06,0.99949425,0.001433179,12.049407,1.2222947,1.0501488,-9.343544,17.219229,991.7214,43.033413,36.57849131,128.7639275,
오후 2:57:42,7.252424,-12.05728,151.24779,1.6593491,2.2047544,0.000172794,602649.9,0.99949425,0.001433084,12.049308,1.2223588,1.0501707,-9.34353,17.218813,991.7218,43.036964,36.57849131,128.7639275,
오후 2:57:43,7.2527013,-12.072525,151.25876,1.6599435,2.2057045,0.000173107,602432.1,0.99949455,0.001433705,12.045565,1.2248167,1.0524093,-9.225767,17.219,991.878,43.178207,36.57849131,128.7639275,
오후 2:57:44,7.2527027,-12.072587,151.25964,1.6599269,2.2056956,0.000173104,602436.4,0.9994946,0.001433702,12.045301,1.2249581,1.0525539,-9.218435,17.219,991.8871,43.188557,36.57849131,128.7639275,
오후 2:57:45,7.2583084,-12.381027,151.11423,1.6567382,2.2015536,0.000171776,603596.06,0.99949473,0.001432856,12.043564,1.3859497,1.1648808,-9.21352,17.22665,991.706,43.296078,36.57849131,128.7639275,
